year,census,date,site_code,rep,microsite,lat,long,diameter,activity
2023,1,20/02/2023,Tecopa,1,shrub ,35.85103,-116.18620,7.7,no
2023,1,20/02/2023,Tecopa,2,shrub ,35.85100,-116.18618,5.9,no
2023,1,20/02/2023,Tecopa,3,shrub ,35.85098,-116.18616,3.9,no
2023,1,20/02/2023,Tecopa,4,shrub ,35.85098,-116.18610,7.9,no
2023,1,20/02/2023,Tecopa,5,shrub ,35.85097,-116.18600,7.0,no
2023,1,20/02/2023,Tecopa,6,shrub ,35.85095,-116.18591,6.2,no
2023,1,20/02/2023,Tecopa,7,shrub ,35.85096,-116.18591,5.5,no
2023,1,20/02/2023,Tecopa,8,shrub ,35.85098,-116.18592,4.0,no
2023,1,20/02/2023,Tecopa,9,shrub ,35.85097,-116.18589,7.0,no
2023,1,20/02/2023,Tecopa,10,open ,35.85097,-116.18591,5.2,no
2023,1,20/02/2023,Tecopa,11,open ,35.85098,-116.18590,4.9,no
2023,1,20/02/2023,Tecopa,12,shrub ,35.85098,-116.18592,4.0,no
2023,1,20/02/2023,Tecopa,13,open ,35.85097,-116.18586,5.3,no
2023,1,20/02/2023,Tecopa,14,shrub ,35.85096,-116.18575,4.0,no
2023,1,20/02/2023,Tecopa,15,shrub ,35.85107,-116.18596,5.2,no
2023,1,20/02/2023,Tecopa,16,open ,35.85106,-116.18597,3.3,no
2023,1,20/02/2023,Tecopa,17,open ,35.85104,-116.18591,6.8,no
2023,1,20/02/2023,Tecopa,18,shrub ,35.85104,-116.18587,4.0,no
2023,1,20/02/2023,Tecopa,19,shrub ,35.85107,-116.18588,7.2,no
2023,1,20/02/2023,Tecopa,20,shrub ,35.85118,-116.18616,7.5,no
2023,1,20/02/2023,Tecopa,21,shrub ,35.85118,-116.18615,6.4,no
2023,1,20/02/2023,Tecopa,22,shrub ,35.85109,-116.18578,6.3,no
2023,1,20/02/2023,Tecopa,23,shrub ,35.85108,-116.18590,9.2,no
2023,1,20/02/2023,Tecopa,24,shrub ,35.85123,-116.18604,2.8,no
2023,1,20/02/2023,Tecopa,25,shrub ,35.85118,-116.18584,5.8,no
2023,1,20/02/2023,Tecopa,26,shrub ,35.85118,-116.18584,5.2,no
2023,1,20/02/2023,Tecopa_open,1,open ,35.85562,-116.17873,8.3,no
2023,1,20/02/2023,Tecopa_open,2,shrub ,35.85545,-116.17849,3.2,no
2023,1,22/02/2023 ,Carrizo_4 ,1,open ,35.11954,-119.62933,8.4,yes
2023,1,22/02/2023 ,Carrizo_4 ,2,open ,35.11959,-119.62933,13.2,yes
2023,1,22/02/2023 ,Carrizo_4 ,3,open ,35.11959,-119.62933,11.5,no
2023,1,22/02/2023 ,Carrizo_4 ,4,open ,35.11959,-119.62933,17.2,no 
2023,1,22/02/2023 ,Carrizo_4 ,5,open ,35.11961,-119.62932,9.4,no
2023,1,22/02/2023 ,Carrizo_4 ,6,open ,35.11962,-119.62933,9.6,yes
2023,1,22/02/2023 ,Carrizo_4 ,7,open ,35.11970,-119.62930,10.8,yes
2023,1,22/02/2023 ,Carrizo_4 ,8,open ,35.11971,-119.62928,11.3,yes
2023,1,22/02/2023 ,Carrizo_4 ,9,open ,35.11971,-119.62926,15.1,yes
2023,1,22/02/2023 ,Carrizo_4 ,10,open ,35.11982,-119.62925,6.2,no 
2023,1,22/02/2023 ,Carrizo_4 ,11,open ,35.11986,-119.62923,9.2,yes 
2023,1,22/02/2023 ,Carrizo_4 ,12,open ,35.11992,-119.62921,9.6,yes 
2023,1,22/02/2023 ,Carrizo_4 ,13,open ,35.11995,-119.62921,5.3,no 
2023,1,22/02/2023 ,Carrizo_4 ,14,open ,35.11999,-119.62917,7.5,no
2023,1,22/02/2023 ,Carrizo_4 ,15,open ,35.11991,-119.62920,5.0,no 
2023,1,22/02/2023 ,Carrizo_4 ,16,shrub ,35.11972,-119.62926,10.8,no 
2023,1,22/02/2023 ,Carrizo_4 ,17,open ,35.11968,-119.62929,14.3,yes 
2023,1,22/02/2023 ,Carrizo_4 ,18,open ,35.11962,-119.62931,14.0,yes 
2023,1,22/02/2023 ,Carrizo_4 ,19,open ,35.11958,-119.62932,6.2,no 
2023,1,22/02/2023 ,Carrizo_4 ,20,open ,35.11958,-119.62932,5.3,no
2023,1,22/02/2023 ,Carrizo_4 ,21,open ,35.11958,-119.62932,10.0,no
2023,1,22/02/2023 ,Carrizo_4 ,22,open ,35.11959,-119.62930,14.2,no
2023,1,22/02/2023 ,Carrizo_4 ,23,open ,35.11956,-119.62931,9.6,yes 
2023,1,22/02/2023 ,Carrizo_4 ,24,open ,35.11954,-119.62933,7.8,yes 
2023,1,22/02/2023 ,Carrizo_4 ,25,open ,35.11956,-119.62931,15.3,yes 
2023,1,22/02/2023 ,Carrizo_4 ,26,open ,35.11956,-119.62931,13.2,yes 
2023,1,22/02/2023 ,Carrizo_4 ,27,open ,35.11962,-119.62929,10.6,yes 
2023,1,22/02/2023 ,Carrizo_4 ,28,open ,35.11962,-119.62929,11.2,yes
2023,1,22/02/2023 ,Carrizo_4 ,29,shrub ,35.11973,-119.62925,5.5,no
2023,1,22/02/2023 ,Carrizo_4 ,30,open ,35.11985,-119.62919,14.5,yes 
2023,1,22/02/2023 ,Carrizo_4 ,31,open ,35.11987,-119.62920,6.4,yes 
2023,1,22/02/2023 ,Carrizo_4 ,32,open ,35.11995,-119.62918,8.3,no 
2023,1,22/02/2023 ,Carrizo_4 ,33,open ,35.11995,-119.62915,9.2,no 
2023,1,22/02/2023 ,Carrizo_4 ,34,open ,35.11995,-119.62914,9.8,no 
2023,1,22/02/2023 ,Carrizo_4 ,35,open ,35.11998,-119.62917,9.8,yes 
2023,1,22/02/2023 ,Carrizo_4 ,36,open ,35.11993,-119.62915,8.5,no
2023,1,22/02/2023 ,Carrizo_4 ,37,shrub ,35.11990,-119.62918,7.0,no
2023,1,22/02/2023 ,Carrizo_4 ,38,shrub ,35.11988,-119.62918,14.6,yes 
2023,1,22/02/2023 ,Carrizo_4 ,39,open ,35.11988,-119.62919,6.2,no
2023,1,22/02/2023 ,Carrizo_4 ,40,open ,35.11985,-119.62921,6.5,no
2023,1,22/02/2023 ,Carrizo_4 ,41,open ,35.11985,-119.62920,13.2,yes 
2023,1,22/02/2023 ,Carrizo_4 ,42,open ,35.11987,-119.62918,16.1,yes 
2023,1,22/02/2023 ,Carrizo_4 ,43,open ,35.11986,-119.62917,13.4,yes 
2023,1,22/02/2023 ,Carrizo_4 ,44,open ,35.11976,-119.62920,4.7,no
2023,1,22/02/2023 ,Carrizo_4 ,45,open ,35.11975,-119.62920,10.1,yes 
2023,1,22/02/2023 ,Carrizo_4 ,46,open ,35.11975,-119.62921,10.1,yes 
2023,1,22/02/2023 ,Carrizo_4 ,47,shrub ,35.11976,-119.62922,7.4,yes 
2023,1,22/02/2023 ,Carrizo_4 ,48,open ,35.11974,-119.62921,6.8,yes 
2023,1,22/02/2023 ,Carrizo_4 ,49,open ,35.11969,-119.62923,7.3,no
2023,1,22/02/2023 ,Carrizo_4 ,50,open ,35.11965,-119.62925,10.2,yes 
2023,1,22/02/2023 ,Carrizo_4 ,51,open ,35.11966,-119.62926,10.5,yes 
2023,1,22/02/2023 ,Carrizo_4 ,52,open ,35.11966,-119.62927,10.5,yes 
2023,1,22/02/2023 ,Carrizo_4 ,53,open ,35.11962,-119.62936,8.2,yes
2023,1,22/02/2023 ,Carrizo_4 ,54,open ,35.11962,-119.62930,13.3,yes 
2023,1,22/02/2023 ,Carrizo_4 ,55,open ,35.11959,-119.62932,13.2,yes 
2023,1,22/02/2023 ,Carrizo_4 ,56,open ,35.11959,-119.62932,15.1,yes 
2023,1,22/02/2023 ,Carrizo_4 ,57,open ,35.11956,-119.62931,9.3,yes 
2023,1,23/02/2023,Semitropic ,1,open ,35.65982,-119.60493,1.8,no 
2023,1,23/02/2023,Semitropic ,2,open ,35.65982,-119.60495,1.3,no
2023,1,23/02/2023,Semitropic ,3,shrub ,35.65982,-119.60497,4.2,no
2023,1,23/02/2023,Semitropic ,4,open ,35.65982,-119.60506,6.2,no
2023,1,23/02/2023,Semitropic ,5,open ,35.65982,-119.60507,17.5,no
2023,1,23/02/2023,Semitropic ,6,open ,35.65985,-119.60521,5.3,no 
2023,1,23/02/2023,Semitropic ,7,open ,35.65985,-119.60520,8.3,no
2023,1,23/02/2023,Semitropic ,8,open ,35.65987,-119.60537,3.1,no
2023,1,23/02/2023,Semitropic ,9,open ,35.65991,-119.60541,4.3,no 
2023,1,23/02/2023,Semitropic ,10,open ,35.65990,-119.60538,5.4,no 
2023,1,23/02/2023,Semitropic ,11,shrub,35.65990,-119.60536,3.8,no
2023,1,23/02/2023,Semitropic ,12,shrub,35.65990,-119.60532,6.5,no 
2023,1,23/02/2023,Semitropic ,13,shrub ,35.65992,-119.60530,4.2,yes 
2023,1,23/02/2023,Semitropic ,14,shrub ,35.65990,-119.60529,3.5,no 
2023,1,23/02/2023,Semitropic ,15,shrub ,35.65990,-119.60527,5.9,no 
