region,site,calendar date,transect,microsite,burrows
Cuyama,1,april 1st,1,shrub,14
Cuyama,1,april 1st,2,shrub,12
Cuyama,1,april 1st,3,shrub,12
Cuyama,2,april 1st,1,shrub,13
Cuyama,2,april 1st,2,shrub,7
Cuyama,2,april 1st,3,shrub,9
Cuyama,3,april 1st,1,shrub,14
Cuyama,3,april 1st,2,shrub,0
Cuyama,3,april 1st,3,shrub,9
Cuyama,4,april 1st,1,shrub,13
Cuyama,4,april 1st,2,shrub,9
Cuyama,4,april 1st,3,shrub,14
Cuyama,5,april 1st,1,shrub,13
Cuyama,5,april 1st,2,shrub,11
Cuyama,5,april 1st,3,shrub,13
Cuyama,6,april 1st,1,shrub,3
Cuyama,6,april 1st,2,shrub,9
Cuyama,6,april 1st,3,shrub,12
Cuyama,1,april 1st,1,open,24
Cuyama,1,april 1st,2,open,31
Cuyama,1,april 1st,3,open,45
Cuyama,2,april 1st,1,open,22
Cuyama,2,april 1st,2,open,26
Cuyama,2,april 1st,3,open,40
Cuyama,3,april 1st,1,open,22
Cuyama,3,april 1st,2,open,60
Cuyama,3,april 1st,3,open,22
Cuyama,4,april 1st,1,open,32
Cuyama,4,april 1st,2,open,23
Cuyama,4,april 1st,3,open,24
Cuyama,5,april 1st,1,open,39
Cuyama,5,april 1st,2,open,37
Cuyama,5,april 1st,3,open,22
Cuyama,6,april 1st,1,open,27
Cuyama,6,april 1st,2,open,28
Cuyama,6,april 1st,3,open,35
