rep,site,shrubID,tag,x,y,z,shrub_volume,canopy,D1,Dx,Dy,DE1,Dex,Dey,n_burrows
1,1,1,146,4.7,5,1.8,11.0685,7,2.5,6,2.5,2.5,6,2.5,1
2,1,2,149,3.6,5,2.1,9.891,8,1.6,4.9,1.6,4.9,13,4.9,0
3,1,3,NA,6.7,5.6,2,19.63546667,6,0.8,0.8,4.5,3.3,3.3,9.3,1
4,1,4,NA,4.9,5.5,2,14.10383333,10,0.1,0.8,0.1,0.8,0.8,7.2,0
5,1,5,NA,3.8,4,2,7.954666667,8,0.2,0.2,0.8,2.8,2.8,8.2,0
6,1,6,NA,3.6,4.3,1.4,5.67084,9,0.4,0.9,0.4,3.2,9.9,3.2,1
7,1,7,NA,4,4.2,1.4,6.1544,5,4.1,4.1,3.9,3.9,4.2,3.9,1
8,1,8,158,6.6,5.5,1.8,17.0973,7,2.2,2.2,3.1,2.2,2.2,3.1,0
9,1,9,NA,4.6,4.9,1.4,8.257153333,9,3.3,3.3,3.6,3.3,3.3,3.6,0
10,1,10,161,2.2,2.3,1.2,1.58884,8,0.2,0.2,3.3,0.2,0.2,3.3,0
11,1,11,NA,4.6,4.4,1.6,8.473813333,9,0.7,0.7,5.6,4.5,4.5,5.6,1
12,1,12,NA,5.1,4.4,1.5,8.8077,7,6.9,8.6,6.9,6.9,8.6,6.9,2
13,1,13,NA,6.2,7.5,1.6,19.468,8,1.6,1.7,0.6,0.6,1.7,0.6,1
14,1,14,NA,6.9,3.6,1.1,7.14978,6,3.2,8.2,3.2,3.2,8.2,3.2,0
15,1,15,NA,4.7,3.9,1.4,6.71489,8,0.3,0.3,4.4,3.6,3.6,4.4,1
16,1,16,NA,4.4,3.1,1.7,6.067526667,4,1.5,3.2,1.5,1.5,3.2,1.5,2
17,1,17,NA,3.4,3.6,1.7,5.44476,7,3.2,8.5,0.32,3.2,8.5,3.2,1
18,1,18,NA,3.9,3.8,1.3,5.04127,7,2.6,5.3,6.1,2.6,9,6.1,0
19,1,19,NA,5.5,4.4,1.8,11.3982,5,0.8,0.8,6.9,0.8,8,6.9,0
20,1,20,NA,4.1,3,1.1,3.54035,5,0.4,0.4,4.6,4.6,6.8,4.6,0
21,1,21,NA,3,3,1.6,3.768,11,4.2,7.3,4.2,4.2,7.3,4.2,1
22,1,22,NA,2.9,2.4,1.2,2.18544,9,8.3,19,8.5,8.3,19,8.3,3
23,1,23,NA,2.1,2.5,1,1.37375,6,6.5,8,6.5,6.5,8,6.5,1
24,1,24,NA,3.3,2.8,1.8,4.35204,7,0.5,0.5,15,0.5,0.5,13,1
25,1,25,NA,3.9,3,1.5,4.59225,6,5.5,5.5,6,6,15,6,2
26,1,26,NA,3,3.4,1.5,4.0035,5,0.2,0.2,3.1,0.2,0.2,30,4
27,1,27,NA,3.7,1.2,6,6.9708,8,4.5,14.5,4.5,4.5,14.5,4.5,1
28,1,28,NA,2.5,3.1,1.4,2.839083333,6,0.5,0.5,2.5,0.5,1,2.5,0
29,1,29,152,2.3,2.3,1.3,1.799481667,6,2.3,2.3,11.5,2.3,2.3,12.5,0
30,1,30,155,4.7,5,1.8,11.0685,7,0.3,0.3,3.1,3.1,14,3.1,2
31,2,1,NA,3.2,3.5,1.6,4.689066667,6,6.5,6.5,7.2,7.2,7.2,6.9,4
32,2,2,NA,2.6,2.4,1.4,2.28592,6,6.9,8.5,6.9,6.9,8.5,6.9,1
33,2,3,200,3.5,4.1,1.4,5.256883333,6,2.6,6.5,2.6,2.6,6.5,7.1,3
34,2,4,196,4.7,4.6,1.8,10.18302,8,0.3,5.5,0.3,0.3,5.5,0.3,2
35,2,5,NA,4.1,3.9,1.8,7.53129,8,0.1,0.1,8.3,0.1,0.1,8.3,4
36,2,6,NA,2.2,2.3,1.3,1.721243333,6,7,7,11,7,7,11,0
37,2,7,NA,2.2,1.9,1.4,1.531273333,8,5,52,5,5,52,5,1
38,2,8,NA,3.4,3.4,1.8,5.44476,7,5.5,15,5.5,5.5,15,5.5,2
39,2,9,NA,3.1,3.5,1.9,5.394258333,8,0.5,0.5,15.1,8,15.1,12.9,4
40,2,10,NA,3.6,3.7,1.6,5.57664,11,4.1,4.1,18,4.1,4.1,18,5
41,2,11,NA,2.5,2.7,1.5,2.649375,5,4.5,15,4.5,4.5,1.5,4.5,0
42,2,12,192,4,4,1.6,6.698666667,8,4.5,28,4.5,4.5,26,4.5,3
43,2,13,NA,2.8,2.9,1.9,4.036993333,8,2.4,32,7.5,2.4,32,7.5,1
44,2,14,NA,3.4,3,1.9,5.0711,9,4.2,4.2,7.8,4.2,4.2,7.8,2
45,2,15,194,2.1,1.7,0.7,0.653905,5,5,5,12.3,5,5,12.3,0
46,2,16,NA,1.5,1.6,1.1,0.6908,4,9.3,2.6,9.3,2.6,2.6,9.3,2
47,2,17,NA,4.1,5.7,2.1,12.841815,11,5.7,5.7,13.2,5.1,5.7,13.2,4
48,2,18,NA,2.6,2.6,1.4,2.476413333,10,1,1,12.6,1,1,12.6,4
49,2,19,NA,1.6,1.5,1.3,0.8164,12,5.5,5.5,5.8,5.5,5.5,5.8,5
50,2,20,NA,3.8,4.2,1.6,6.68192,7,1.6,1.9,6.1,1.6,1.9,6.2,0
51,2,21,NA,1.6,2.1,1.3,1.14296,11,1.6,1.6,4.8,1.6,1.6,4.8,1
52,2,22,NA,3.1,2.7,1.4,3.06621,6,2.4,3.8,2.4,2.4,3.8,2.4,3
53,2,23,NA,4.3,3.1,1.8,6.27843,12,0.1,1.7,0.1,0.1,1.7,0.1,3
54,2,24,NA,3.1,3.5,1.7,4.826441667,10,0.7,0.7,2.9,0.7,0.7,2.9,1
55,2,25,NA,3.4,4.3,2.1,8.03369,10,5.8,5.8,5.9,5.8,5.8,5.9,4
56,2,26,190,3.6,3.3,1.6,4.97376,9,0.2,17.6,0.2,0.2,17.6,0.2,3
57,2,27,NA,3.5,3.9,2,7.1435,9,6.1,6.1,6.2,6.1,6.1,6.2,1
58,2,28,NA,3.8,4.1,2,8.153533333,7,2.3,2.3,3.9,2.3,2.3,4.9,2
59,2,29,188,3.5,3,1.6,4.396,8,0.6,0.6,9.6,8.8,13.8,9.6,2
60,2,30,NA,2.5,2.5,1.2,1.9625,7,4.1,16,4.1,4.1,20,4.1,1
61,3,1,NA,3.1,3.2,1.9,4.931893333,8,0.4,2.9,0.7,11,NA,NA,2
62,3,2,NA,3.4,3.7,1.8,5.92518,12,0.2,0.2,0.3,12,13,NA,2
63,3,3,NA,2.8,2.8,1.6,3.282346667,12,1.1,1.1,9,2.2,2.2,10,3
64,3,4,NA,2.2,1.7,1.3,1.272223333,10,2.3,2.3,6.7,10,11,10,3
65,3,5,NA,2.3,1.8,1.5,1.62495,9,0.6,0.6,10,10,3.8,NA,3
